"CID","FeatureHydrophobeCount3D","HBondAcceptorCount","HBondDonorCount","IsomericSMILES","MolecularWeight","drug_class"
"134812791","NA","16","13","C1C[C@@H](N(C1)C(=O)C2CSSC[C@H](C(=O)NC(C(=O)N[C@@H](C(=O)N[C@H](C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)N[C@H](CCCCN)C(=O)NCC(=O)N","1056.225","multi"
"134694981","3.0","4","3","CC#CCC(C)[C@@H](/C=C/C1[C@@H](C[C@H]2[C@@H]1CC(=CCCCC(=O)O)C2)O)O","360.494","multi"
"134692713","0.0","8","2","COC1=C(C=C(C=C1)S(=O)(=O)N2[C@H]([C@](C3=C2C=CC(=C3)Cl)(C4=CC=CC=C4Cl)O)C(=O)N5CCCC5C(=O)N)OC","620.498","hematologic"
"134692601","NA","16","13","C1C[C@H](N(C1)C(=O)C2CSSC[C@@H](C(=O)NC(C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N","1056.225","multi"
"134692167","1.0","10","3","C[C@@H]1C(=O)O[C@@H]2[C@]1(C34C(=O)O[C@H]5C3([C@H]2O)C6([C@H](O4)OC(=O)C6O)C(C5)C(C)(C)C)O","424.402","multi"
"133602833","NA","15","13","C1C[C@H](N(C1)C(=O)[C@@H]2CSSCCC(=O)NC(C(=O)N[C@H](C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)N[C@H](CCCN=C(N)N)C(=O)NCC(=O)N","1069.224","hematologic"
"133588927","NA","16","13","C1C[C@H](N(C1)C(=O)C2CSSC[C@@H](C(=O)NC(C(=O)N[C@H](C(=O)N[C@H](C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N","1056.225","multi"
"133562784","NA","13","3","C[C@@H]1CC[C@@]2(CC[C@@H]([C@@H](O2)[C@H](C)CC[C@@H]([C@H](C)C(=O)C[C@@H]([C@H]([C@@H](C(C)C)OC(=O)C[C@H](C3=C(C(=O)OC3=O)C)O)OC)O)O)C)O[C@H]1CC[C@H](C)C(=O)C","766.966","hematologic"
"133126842","NA","7","4","[C@H]1([C@H]([C@@H](O[C@@H]([C@@H]1O)O)C(=O)[O-])O)O.[Na+]","216.121","hematologic"
"133126841","NA","19","9","[C@H]1([C@H]([C@@H](O[C@@H]([C@@H]1O)O[C@@H]2[C@H]([C@H]([C@H](O[C@@H]2C(=O)O)O[C@@H]3[C@H]([C@H]([C@H](O[C@@H]3C(=O)[O-])O)O)O)O)O)C(=O)[O-])O)O.[Ca+2]","584.449","hematologic"
"133126726","3.0","4","3","CCCCC[C@H](/C=C/[C@@H]1[C@H](C[C@@H]2[C@H]1C/C(=C/CCCC(=O)O)/C2)O)O","350.499","hematologic"
