"CID","HBondAcceptorCount","HBondDonorCount","IsomericSMILES","MolecularWeight","XLogP","drug_class","desalted_SMILES"
"24769","2","0","CN(C)CCCCCCN(C)C.C(CBr)CBr","374.205","NA","hematologic","BrCCCBr.CN(C)CCCCCCN(C)C"
"134694070","9","6","C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br.[C@@H](C(C(=O)O)O)(C(=O)O)O","442.226","NA","cardio","Brc1c(NC2=NCCN2)ccc2nccnc12"
"5121","2","0","C1CSC2=NC(CN21)C3=CC=C(C=C3)Br","283.187","2.5","antiinfective","Brc1ccc(C2CN3CCSC3=N2)cc1"
"4660557","1","1","C1C2CC3CC1CC(C2)C3NC4=CC=C(C=C4)Br","306.247","5.0","cns","Brc1ccc(NC2C3CC4CC(C3)CC2C4)cc1"
"122175","2","2","CC(CCC(C#C)N)N","126.203","-0.4","antineoplastic","C#CC(N)CCC(C)N"
"5281077","1","1","CCC(/C=C/Cl)(C#C)O","144.598","1.5","cns","C#CC(O)(/C=C/Cl)CC"
"13752005","3","2","CCC12CCC3C(C1CCC2(C#C)O)CCC4=C/C(=N\O)/CCC34","327.468","3.6","reproductivecontrol","C#CC1(O)CCC2C3CCC4=C/C(=N\O)CCC4C3CCC21CC"
"265249","2","1","CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2(C#C)O","294.394","1.8","reproductivecontrol","C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C=CC21C"
"4542","2","1","CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34","312.453","3.3","reproductivecontrol","C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC"
"16051930","2","1","CC[C@]12CC[C@H]3[C@H]([C@@H]1CCC2(C#C)O)CCC4=CC(=O)CC[C@H]34","312.453","3.3","reproductivecontrol","C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC"
"541197","3","0","CC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)C#C","340.463","3.5","reproductivecontrol","C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C"
"7842","0","0","C#CCBr","118.961","1.1","antiinfective","C#CCBr"
"92913","1","1","CC(CC1=CC=CC=C1)N(C)CC#C.Cl","223.744","NA","cns","C#CCN(C)C(C)Cc1ccccc1"
"4380","2","0","CN(CCCOC1=C(C=C(C=C1)Cl)Cl)CC#C","272.169","4.2","cns","C#CCN(C)CCCOc1ccc(Cl)cc1Cl"
"9373","1","1","CN(CC#C)CC1=CC=CC=C1.Cl","195.69","NA","cardio","C#CCN(C)Cc1ccccc1"
"26758","1","1","C[C@H](CC1=CC=CC=C1)N(C)CC#C.Cl","223.744","NA","cns","C#CCN(C)[C@H](C)Cc1ccccc1"
"12114431","1","0","CN(CC#C)[C@H]1CCC2=CC=CC=C12","185.27","2.3","cns","C#CCN(C)[C@H]1CCc2ccccc21"
"213022","9","4","CC1=C(C=C2C(=C1)NC(=NC2=O)C)CN(CC#C)C3=CC(=C(C=C3)C(=O)N[C@@H](CCC4=NNN=N4)C(=O)O)F","532.536","1.7","antineoplastic","C#CCN(Cc1cc2c(=O)nc(C)[nH]c2cc1C)c1ccc(C(=O)N[C@@H](CCc2nn[nH]n2)C(=O)O)c(F)c1"
"121955","7","4","CC1=NC(=O)C2=C(N1)C=CC(=C2)CN(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O","476.489","1.2","antineoplastic","C#CCN(Cc1ccc2[nH]c(C)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1"
"1405","7","5","C#CCN(CC1=CC2=C(C=C1)NC(=NC2=O)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O","477.477","0.6","antineoplastic","C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1"
"443388","7","5","C#CCN(CC1=CC2=C(C=C1)NC(=NC2=O)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O","477.477","0.6","antineoplastic","C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1"
"40391","2","0","C#CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3","308.765","3.1","cns","C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21"
"122316","1","1","C#CCNC1CCC2=CC=CC=C12","171.243","1.8","cns","C#CCNC1CCc2ccccc21"
