posthoc_df$comparison	mw	xlogp	HBondDonorCount	HBondAcceptorCount
antiinflammatory-antiinfective	6.42863540178951e-12	8.52238700943531e-07	6.43030073632644e-12	6.31850127774669e-12
antineoplastic-antiinfective	6.61082300013049e-12	0.999989619483607	2.63965221902751e-08	6.47726317026809e-12
cardio-antiinfective	6.3208327460984e-12	0.0874051936828109	6.43218811546831e-12	6.31850127774669e-12
cns-antiinfective	6.31850127774669e-12	0.34005936046235	6.31850127774669e-12	6.31850127774669e-12
dermatologic-antiinfective	6.52655707256145e-12	0.0529503398823659	6.43385345000524e-12	6.43007869172152e-12
gastrointestinal-antiinfective	0.000471875830542201	0.770926580424421	0.53987747029685	0.000513615322233152
hematologic-antiinfective	0.0514294405711039	0.554907373981338	0.0272666447105607	0.064522670747704
lipidregulating-antiinfective	9.3070273710083e-10	3.14440680160288e-08	6.4627192486455e-12	6.43185504856092e-12
reproductivecontrol-antiinfective	2.97585805404399e-05	0.000387744542960644	7.84682289566296e-05	6.43152198165353e-12
respiratorysystem-antiinfective	7.81575995227879e-05	0.997828190806797	0.00435082566611567	6.94792545719025e-09
urological-antiinfective	0.101761912094059	0.999145492729083	0.256322576243667	0.00326883278775802
antineoplastic-antiinflammatory	5.95203616438056e-06	2.93804541682263e-05	2.32357117457838e-06	7.43789474455525e-11
cardio-antiinflammatory	0.628776621221346	0.150036681502067	0.830546685254446	0.667447507484853
cns-antiinflammatory	0.0135155737152157	0.0153924120498372	0.495202005014969	0.00013408922745739
dermatologic-antiinflammatory	0.842012034642731	0.999999999982613	0.281490568124942	0.332138834266758
gastrointestinal-antiinflammatory	0.00892414374462891	9.77678920865976e-06	3.98906735438187e-05	1.30077473980972e-05
hematologic-antiinflammatory	6.58409610263533e-05	0.720094127127695	0.00243542348146919	1.18681845462376e-08
lipidregulating-antiinflammatory	0.999986381392145	6.22331366187945e-05	0.986028383411184	0.91210267532839
reproductivecontrol-antiinflammatory	0.821582096670172	0.999706021188119	0.955058241188532	0.870377959011858
respiratorysystem-antiinflammatory	0.998672944579924	0.98872269632748	0.978319263846577	0.999997473686454
urological-antiinflammatory	0.999999999793689	0.999999999998407	1	0.999953432779606
