comparisons	MolecularWeight	HBondAcceptorCount	HBondDonorCount	XLogP
antiinflammatory-antiinfective	0	3.03682412550188e-10	0	9.54697654265146e-10
antineoplastic-antiinfective	0	0	3.13904248150365e-07	0.999994012522226
cardio-antiinfective	3.66073837909653e-12	9.5856655946136e-13	2.2258195286895e-11	0.0448558277210463
cns-antiinfective	2.16762019444872e-09	3.43600969898716e-09	3.64703089950069e-09	0.180749666925224
dermatologic-antiinfective	2.95541369155217e-13	0	3.4028335704761e-13	0.000855637615132965
gastrointestinal-antiinfective	0.00826725631327396	0.0131375215774135	0.815269094543183	0.956633177683636
hematologic-antiinfective	0.157034150888272	0.46460171501557	0.0302113428108871	0.906892661657618
lipidregulating-antiinfective	5.91193760612896e-13	1.35003119794419e-13	2.52876608541897e-11	9.84767822842514e-14
reproductivecontrol-antiinfective	3.83989789409789e-07	6.78346268045971e-14	4.75492250751053e-06	2.20174500853432e-09
respiratorysystem-antiinfective	0.000260103259859479	1.95042564987702e-07	0.000225641648559871	0.96833380576657
urological-antiinfective	7.70715211650952e-08	8.00011794477307e-07	4.66371867405835e-05	0.360594722085122
antineoplastic-antiinflammatory	3.65291037418558e-08	8.41215985758481e-13	0	2.11082809231655e-07
cardio-antiinflammatory	0.312207588466803	0.407567376019604	0.577218774771997	0.0206433316645737
cns-antiinflammatory	7.83782166896563e-05	8.793964234588e-08	0.0925621851945917	0.000247619680196709
dermatologic-antiinflammatory	0.661356913119554	0.00135676324319645	5.31095112366042e-06	0.999999999050132
gastrointestinal-antiinflammatory	0.0142477983013761	0.000103100804215273	0.000256399299398247	0.000671375067905711
hematologic-antiinflammatory	8.85033389830259e-05	8.82614700525863e-06	0.000380165382736219	0.89469136395676
lipidregulating-antiinflammatory	0.998667018465276	0.400124097170819	0.483519986978614	6.40578365684874e-06
reproductivecontrol-antiinflammatory	0.509645516732287	0.373146918161694	0.841321318119148	0.984355583030927
respiratorysystem-antiinflammatory	0.997736952916265	0.999995587889868	0.886102009994184	0.8877119577245
urological-antiinflammatory	0.999980125593339	0.963476949864097	0.99999999998406	0.999998892921597
cardio-antineoplastic	0.00171696397892962	6.66366872792423e-09	2.4095975759475e-05	0.312783284911138
cns-antineoplastic	3.3597680193509e-11	8.36053448693974e-12	3.30843130669223e-11	0.730838880849449
dermatologic-antineoplastic	5.33537808344864e-06	1.72084568816899e-14	1.0369483049999e-12	0.00351498201717804
