image_name,tags,smiles,Col3
pics/0,dermatologic,CC(=O)NC1C(O)OC(CO)C(O)C1O,['dermatologic']
pics/1,antiinfective,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,['antiinfective']
pics/2,antiinfective,CCCCC(C)C(=O)OC1C(C)C(CC)OC2(CC3CC(C/C=C(\C)CC(C)/C=C/C=C4\COC5C(O)C(C)=CC(C(=O)O3)C45O)O2)C1O,['antiinfective']
pics/3,antineoplastic,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)C[C@H](C)[C@@](C)(O)C2,['antineoplastic']
pics/4,antiinfective respiratorysystem,CC(=O)N[C@@H](CS)C(=O)[O-],"['antiinfective', 'respiratorysystem']"
pics/5,cns,CC(=O)OCC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C,['cns']
pics/6,cns,CC(=O)Nc1nnc(S(N)(=O)=O)s1,['cns']
pics/7,hematologic,O=C([O-])CCC/C=C\C[C@H]1[C@H]2CC[C@H](C2)[C@@H]1NS(=O)(=O)c1ccccc1.O=C([O-])CCC/C=C\C[C@H]1[C@H]2CC[C@H](C2)[C@@H]1NS(=O)(=O)c1ccccc1,['hematologic']
pics/8,cns,OCCN1CCN(CC/C=C2\c3ccccc3Sc3ccc(Cl)cc32)CC1,['cns']
pics/9,antiinfective,C[C@@H]1CCC/C=C/[C@H]2C[C@@H](O)C[C@@H]2[C@@H](O)/C=C\C(=O)O1,['antiinfective']
pics/10,cns,CCC=C(CCC)C(=O)O,['cns']
pics/11,gastrointestinal cns cardio,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(CO)C[C@@H]21,"['gastrointestinal', 'cns', 'cardio']"
pics/12,antiinfective,C[C@H]1[C@@H](O)[C@H](C)/C=C/C=C\CC/C=C/C=C/C=C/C=C/C(O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](N)[C@H]2O)CC2O[C@@](O)(CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)O[C@@H]1C)CC(O)C2C(=O)O,['antiinfective']
pics/13,antiinfective,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC,['antiinfective']
pics/14,antineoplastic,CCN=c1cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C.[O-][Cl+3]([O-])([O-])O,['antineoplastic']
pics/15,antineoplastic,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,['antineoplastic']
