pr_gene_id	pr_gene_symbol	pr_gene_title
780	DDR1	discoidin domain receptor tyrosine kinase 1
7849	PAX8	paired box 8
23	ABCF1	ATP binding cassette subfamily F member 1
9552	SPAG7	sperm associated antigen 7
10921	RNPS1	RNA binding protein S1, serine-rich domain
10285	SMNDC1	survival motor neuron domain containing 1
533	ATP6V0B	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b
23326	USP22	ubiquitin specific peptidase 22
9761	MLEC	malectin
3927	LASP1	LIM and SH3 protein 1
1465	CSRP1	cysteine and glycine rich protein 1
5792	PTPRF	protein tyrosine phosphatase, receptor type F
3337	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1
7494	XBP1	X-box binding protein 1
2896	GRN	granulin
3098	HK1	hexokinase 1
11014	KDELR2	KDEL endoplasmic reticulum protein retention receptor 2
823	CAPN1	calpain 1
813	CALU	calumenin
1509	CTSD	cathepsin D
3925	STMN1	stathmin 1
1891	ECH1	enoyl-CoA hydratase 1, peroxisomal
8826	IQGAP1	IQ motif containing GTPase activating protein 1
1153	CIRBP	cold inducible RNA binding protein
5048	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1
10525	HYOU1	hypoxia up-regulated 1
2058	EPRS	glutamyl-prolyl-tRNA synthetase
1152	CKB	creatine kinase, brain
6772	STAT1	signal transducer and activator of transcription 1
2288	FKBP4	FK506 binding protein 4
3895	KTN1	kinectin 1
10972	TMED10	transmembrane p24 trafficking protein 10
10099	TSPAN3	tetraspanin 3
2778	GNAS	GNAS complex locus
16	AARS	alanyl-tRNA synthetase
3032	HADHB	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit
6184	RPN1	ribophorin I
10606	PAICS	phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase
10904	BLCAP	bladder cancer associated protein
3033	HADH	hydroxyacyl-CoA dehydrogenase
2771	GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2
6599	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1
9375	TM9SF2	transmembrane 9 superfamily member 2
8396	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase, type II, beta
5829	PXN	paxillin
9276	COPB2	coatomer protein complex subunit beta 2 (beta prime)
10857	PGRMC1	progesterone receptor membrane component 1
3693	ITGB5	integrin subunit beta 5
5355	PLP2	proteolipid protein 2 (colonic epithelium-enriched)
4780	NFE2L2	nuclear factor, erythroid 2 like 2
4154	MBNL1	muscleblind like splicing regulator 1
4836	NMT1	N-myristoyltransferase 1
8531	YBX3	Y-box binding protein 3
8553	BHLHE40	basic helix-loop-helix family member e40
54386	TERF2IP	telomeric repeat binding factor 2, interacting protein
25793	FBXO7	F-box protein 7
5654	HTRA1	HtrA serine peptidase 1
4043	LRPAP1	LDL receptor related protein associated protein 1
8804	CREG1	cellular repressor of E1A stimulated genes 1
7126	TNFAIP1	TNF alpha induced protein 1
5641	LGMN	legumain
5887	RAD23B	RAD23 homolog B, nucleotide excision repair protein
10250	SRRM1	serine/arginine repetitive matrix 1
3611	ILK	integrin linked kinase
7832	BTG2	BTG family member 2
481	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide
6513	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1
